City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
487,Bandiagara,ML,79.14,broken clouds,14.3501,-3.6104,Hotel de la Falaise
496,Nea Alikarnassos,GR,77.83,scattered clouds,35.3333,25.1667,Poseidon Hotel
497,Namatanai,PG,81.86,light rain,-3.6667,152.4333,Seagulls Inn Namatani
498,Kalat,PK,84.0,clear sky,29.0225,66.5916,PHE Rest House
501,Honiara,SB,79.61,scattered clouds,-9.4333,159.95,Heritage Park Hotel
502,Iralaya,HN,78.89,overcast clouds,15.0,-83.2333,Iglesia morava renovada
511,Samandag,TR,84.72,clear sky,36.0842,35.9771,Anadolu Palace Hotel
514,Qujing,CN,75.43,overcast clouds,25.4833,103.7833,Yulong Hotel
521,Puerto Escondido,MX,79.52,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
527,Gazanjyk,TM,89.56,clear sky,39.2446,55.5154,Railway motel
528,Strezhevoy,RU,77.45,clear sky,60.7333,77.5889,Sibiryachka
532,Gandajika,CD,75.85,overcast clouds,-6.75,23.95,Hôtel Memorial
537,Alcudia,ES,87.37,clear sky,39.8532,3.1214,Zafiro Tropic
541,Salalah,OM,87.89,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
543,Maningrida,AU,85.39,clear sky,-12.0667,134.2667,Dhukurrdji Lodge
546,Sibu,MY,89.91,scattered clouds,2.3,111.8167,RH HOTEL (4 Star)
554,Kumburgaz,TR,75.11,clear sky,41.0211,28.4772,Blue World Hotel
555,Ichinoseki,JP,77.58,scattered clouds,38.9167,141.1333,Ichinoseki Onsen Yamazakura Momonoyu
556,Alappuzha,IN,82.54,overcast clouds,9.49,76.3264,Panoramic Sea Resort
559,Marostica,IT,83.44,clear sky,45.7468,11.6579,Albergo Due Mori
560,Prachuap Khiri Khan,TH,87.44,overcast clouds,12.2167,99.75,ผกากรองรีสอร์ท
562,Boa Vista,BR,78.78,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
564,Abnub,EG,86.43,clear sky,27.2696,31.1511,دوار ال عبد الجواد شرق البلد بابنوب
569,Dakar,SN,78.93,scattered clouds,14.6937,-17.4441,Novotel Dakar
573,Hatsukaichi,JP,80.55,overcast clouds,34.35,132.3333,ホテル WAVE
574,Bandarbeyla,SO,89.04,overcast clouds,9.4942,50.8122,JABIR HOTEL
578,Sola,VU,79.07,broken clouds,-13.8833,167.55,Leumerus Bungalows
581,Ayagoz,KZ,82.2,broken clouds,47.9714,80.4392,ХАН
586,Strelka,RU,75.45,broken clouds,58.0728,93.0344,"Gostinitsa ""Angara"""
587,Fort Smith,US,75.52,clear sky,35.3859,-94.3986,Hampton Inn Fort Smith
592,West Fargo,US,78.85,clear sky,46.875,-96.9004,Hilton Garden Inn Fargo
595,Trincomalee,LK,89.28,light rain,8.5711,81.2335,Welcombe Hotel
599,Lorengau,PG,82.9,few clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
602,Langsa,ID,83.82,light rain,4.4683,97.9683,OYO 3328 Hotel Mori
