City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
146,Piopio,NZ,2022-06-19 01:15:42,-38.4667,175.0167,55.0,73,93,5.61
147,Souillac,MU,2022-06-19 01:15:42,-20.5167,57.5167,66.58,88,40,5.75
148,Hithadhoo,MV,2022-06-19 01:15:43,-0.6,73.0833,81.86,71,100,1.74
149,Adrar,MR,2022-06-19 01:15:43,20.5022,-10.0711,85.62,41,21,6.46
150,Puerto Penasco,MX,2022-06-19 01:15:43,31.3167,-113.5333,82.9,62,5,5.01
151,Ladario,BR,2022-06-19 01:15:44,-19.0047,-57.6017,62.33,57,0,3.13
152,Norman Wells,CA,2022-06-19 01:15:44,65.282,-126.8329,82.44,23,75,9.22
153,Yeppoon,AU,2022-06-19 01:15:45,-23.1333,150.7333,69.58,71,3,12.75
154,Hellvik,NO,2022-06-19 01:15:45,59.9156,5.781,52.0,85,100,9.89
155,Salym,RU,2022-06-19 01:15:46,60.0625,71.4789,63.03,69,100,1.81
156,Tatawin,TN,2022-06-19 01:15:46,32.9297,10.4518,74.03,46,0,3.49
157,Sitka,US,2022-06-19 01:15:46,57.0531,-135.33,58.89,67,100,9.22
158,Celica,EC,2022-06-19 01:15:47,-4.1167,-79.95,59.27,82,66,2.26
159,Thinadhoo,MV,2022-06-19 01:15:47,0.5333,72.9333,82.6,71,69,3.53
160,Provideniya,RU,2022-06-19 01:15:48,64.3833,-173.3,56.91,49,11,8.28
161,The Valley,AI,2022-06-19 01:14:06,18.217,-63.0578,82.26,79,17,17.96
162,San Cristobal,VE,2022-06-19 01:15:49,7.7669,-72.225,71.78,98,12,3.6
163,San Jeronimo,PE,2022-06-19 01:15:49,-11.9472,-75.2829,45.09,80,16,5.23
164,Hami,CN,2022-06-19 01:15:50,42.8,93.45,79.02,18,1,10.22
165,Mar Del Plata,AR,2022-06-19 01:14:00,-38.0023,-57.5575,45.95,54,2,3.0
166,Mabaruma,GY,2022-06-19 01:15:50,8.2,-59.7833,73.99,93,97,4.25
167,Dwarka,IN,2022-06-19 01:15:51,22.2394,68.9678,84.45,80,11,12.28
168,Champerico,GT,2022-06-19 01:15:51,14.3,-91.9167,79.83,79,100,2.35
169,Koslan,RU,2022-06-19 01:15:52,63.4564,48.8989,48.52,88,100,5.37
170,Fortuna,US,2022-06-19 01:15:52,40.5982,-124.1573,61.93,68,40,17.27
171,Obidos,BR,2022-06-19 01:14:40,-1.9175,-55.5181,77.13,78,70,3.94
172,Qaqortoq,GL,2022-06-19 01:15:53,60.7167,-46.0333,44.51,97,100,4.05
173,Uyar,RU,2022-06-19 01:15:54,55.81,94.3153,62.2,76,32,7.81
174,Chuy,UY,2022-06-19 01:15:54,-33.6971,-53.4616,42.55,65,7,8.23
175,Havre-Saint-Pierre,CA,2022-06-19 01:15:55,50.2334,-63.5986,53.96,76,100,17.27
176,Hamilton,US,2022-06-19 01:14:42,39.1834,-84.5333,72.84,46,0,8.05
177,Belaya Gora,RU,2022-06-19 01:15:55,68.5333,146.4167,63.63,37,100,14.7
178,Bolobo,CD,2022-06-19 01:15:56,-2.1667,16.2333,69.53,90,100,1.66
179,Kamenka,RU,2022-06-19 01:15:57,51.3223,42.7678,55.11,92,17,4.54
180,Surt,LY,2022-06-19 01:15:57,31.2089,16.5887,73.83,73,3,9.69
181,Boyuibe,BO,2022-06-19 01:15:57,-20.4167,-63.2833,50.41,50,0,3.2
182,Nelson Bay,AU,2022-06-19 01:13:10,-32.7167,152.15,60.1,95,35,1.01
183,Ascension,US,2022-06-19 01:15:58,30.2169,-90.9001,92.16,67,0,0.0
184,Mineiros,BR,2022-06-19 01:16:59,-17.5694,-52.5511,62.17,94,28,3.0
185,Gravdal,NO,2022-06-19 01:16:59,68.1214,13.5031,48.81,84,86,2.24
186,Zyryanka,RU,2022-06-19 01:17:00,65.75,150.85,62.42,40,14,2.17
187,Kokopo,PG,2022-06-19 01:17:00,-4.352,152.2633,83.16,68,14,4.07
